date,price,mweb,virtune_ltc,lealana,ltcn,lite-de,cbltc,bitw,lits,eltc,ltcc,luxx,thorchain,total_ltc,total_usd
2025-04-22 00:00:00,77.8197493090501,142132.34896942,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2464274.3793181605,191769214.42725426
2025-04-23 00:00:00,83.8853839117631,144424.40552187,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2466566.43587061,206908872.41687533
2025-04-24 00:00:00,83.1371341625227,146286.47198412,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2468428.50233286,205218071.56904197
2025-04-25 00:00:00,84.3557714680601,146424.13209448,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2468566.16244322,208237803.0528464
2025-04-26 00:00:00,86.3975301727394,148501.31078819,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2475965.94113693,213917342.10605302
2025-04-27 00:00:00,87.035478255189,148004.3311178,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2475468.96146654,215453624.96711636
2025-04-28 00:00:00,85.5499362213425,147993.61703441,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2475455.17393261,211775032.2487271
2025-04-29 00:00:00,85.8085268922347,147645.20541161,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2475106.76230981,212385265.1748133
2025-04-30 00:00:00,85.4214058780834,147043.80655914,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2474505.3634573403,211375726.99938375
2025-05-01 00:00:00,83.5885302885083,146927.96015632,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2474389.51705452,206830583.09187916
2025-05-02 00:00:00,89.0621781652017,149156.80350493,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2476618.3604031303,220573025.6614333
2025-05-03 00:00:00,87.8959035421455,147564.03894011,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2475025.59583831,217544611.03614533
2025-05-04 00:00:00,86.7599241370048,147103.97412873,5322.6,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46447.352343110004,2474565.53102693,214693117.74394345
